accountId,customerId,accountNumber,accountType,branchCode,ifscCode,accountStatus,balance,openingDate,lastTransactionDate
5001,1001,1000005001001,Savings,NGP001,SBIN0000001,Active,85000.50,2022-04-10,2026-08-10
5002,1001,1000005001002,Salary,NGP001,SBIN0000001,Active,145000.00,2023-01-15,2026-08-10
5003,1002,1000005002001,Savings,PUN001,HDFC0000001,Active,62000.75,2021-08-22,2026-08-09
5004,1002,1000005002002,Current,PUN001,HDFC0000001,Active,275000.00,2020-06-12,2026-08-10
5005,1003,1000005003001,Savings,MUM001,ICIC0000001,Active,410000.25,2019-03-05,2026-08-10
5006,1004,1000005004001,Savings,NGP002,AXIS0000001,Active,32000.00,2024-02-19,2026-08-08
5007,1005,1000005005001,Current,PUN002,KOTK0000001,Active,190000.00,2022-11-01,2026-08-10
5008,1006,1000005006001,Savings,NGP003,SBIN0000002,Active,125000.00,2020-09-17,2026-08-09
5009,1007,1000005007001,Savings,MUM002,HDFC0000002,Active,78000.00,2023-06-21,2026-08-10
5010,1008,1000005008001,Salary,PUN003,ICIC0000002,Active,210000.00,2021-12-03,2026-08-10
